Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Number (PACE),Support Category Name,Support Category Name (PACE),Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
04_049_0136_1_1,Establishment Fee For Personal Care/Participation,136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$983.22,"$1,053.45",N,N,N,N,N,Price Limited Supports
04_102_0125_6_1,Access Community Social And Rec Active - Standard - Public Holiday,125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$218.44,$234.05,Y,Y,Y,N,N,Price Limited Supports
04_102_0136_6_1,Group Activities - Standard - Weekday Daytime,136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$98.32,$105.35,Y,Y,Y,N,N,Price Limited Supports
04_103_0125_6_1,Access Community Social And Rec Active - Standard - Weekday Evening,125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$108.33,$116.07,Y,Y,Y,N,N,Price Limited Supports
04_103_0136_6_1,Group Activities - Standard - Weekday Evening,136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$108.33,$116.07,Y,Y,Y,N,N,Price Limited Supports
04_104_0125_6_1,Access Community Social And Rec Active - Standard - Weekday Daytime,125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$98.32,$105.35,Y,Y,Y,N,N,Price Limited Supports
04_104_0136_6_1,Group Activities - Standard - Saturday,136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$98.87,$98.87,$98.87,$98.87,$98.87,$98.87,$98.87,$98.87,$138.36,$148.25,Y,Y,Y,N,N,Price Limited Supports
04_105_0125_6_1,Access Community Social And Rec Active - Standard - Saturday,125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$98.87,$98.87,$98.87,$98.87,$98.87,$98.87,$98.87,$98.87,$138.36,$148.25,Y,Y,Y,N,N,Price Limited Supports
04_105_0136_6_1,Group Activities - Standard - Sunday,136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$178.40,$191.15,Y,Y,Y,N,N,Price Limited Supports
04_106_0125_6_1,Access Community Social And Rec Active - Standard - Sunday,125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$178.40,$191.15,Y,Y,Y,N,N,Price Limited Supports
04_106_0136_6_1,Group Activities - Standard - Public Holiday,136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$218.44,$234.05,Y,Y,Y,N,N,Price Limited Supports
04_210_0125_6_1,Community Social And Recreational Activities,125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
04_400_0104_1_1,Access Community Social And Rec Active - High Intensity - Weekday Daytime,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$106.37,$113.97,Y,Y,Y,N,N,Price Limited Supports
04_401_0104_1_1,Access Community Social And Rec Active - High Intensity - Weekday Evening,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$117.21,$125.58,Y,Y,Y,N,N,Price Limited Supports
04_402_0104_1_1,Access Community Social And Rec Active - High Intensity - Saturday,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$149.70,$160.40,Y,Y,Y,N,N,Price Limited Supports
04_403_0104_1_1,Access Community Social And Rec Active - High Intensity - Sunday,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$193.02,$206.81,Y,Y,Y,N,N,Price Limited Supports
04_404_0104_1_1,Access Community Social And Rec Active - High Intensity - Public Holiday,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$236.33,$253.22,Y,Y,Y,N,N,Price Limited Supports
04_590_0125_6_1,Activity Based Transport,125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_591_0136_6_1,Activity Based Transport,136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_592_0104_6_1,Activity Based Transport,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_599_0104_6_1,Centre Capital Cost,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$2.53,$2.53,$2.53,$2.53,$2.53,$2.53,$2.53,$2.53,$3.54,$3.80,N,N,Y,N,N,Price Limited Supports
04_599_0133_5_1,Centre Capital Cost,133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$2.53,$2.53,$2.53,$2.53,$2.53,$2.53,$2.53,$2.53,$3.54,$3.80,N,N,Y,N,N,Price Limited Supports
04_599_0136_6_1,Centre Capital Cost,136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$2.53,$2.53,$2.53,$2.53,$2.53,$2.53,$2.53,$2.53,$3.54,$3.80,N,N,Y,N,N,Price Limited Supports
04_600_0104_6_1,Group Activities - High Intensity - Weekday Daytime,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$106.37,$113.97,Y,Y,Y,N,N,Price Limited Supports
04_601_0104_6_1,Group Activities - High Intensity - Weekday Evening,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$117.21,$125.58,Y,Y,Y,N,N,Price Limited Supports
04_602_0104_6_1,Group Activities - High Intensity - Saturday,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$102.86,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$149.70,$160.40,Y,Y,Y,N,N,Price Limited Supports
04_603_0104_6_1,Group Activities - High Intensity - Sunday,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$132.62,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$193.02,$206.81,Y,Y,Y,N,N,Price Limited Supports
04_604_0104_6_1,Group Activities - High Intensity - Public Holiday,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$162.38,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$236.33,$253.22,Y,Y,Y,N,N,Price Limited Supports
04_799_0104_6_1,Provider travel - non-labour costs,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_799_0125_6_1,Provider travel - non-labour costs,125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_799_0133_5_1,Provider travel - non-labour costs,133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_799_0136_6_1,Provider travel - non-labour costs,136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_801_0133_5_1,Supports in Employment - Weekday Daytime,133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$98.32,$105.35,Y,Y,Y,N,N,Price Limited Supports
04_802_0133_5_1,Supports in Employment - Weekday Evening,133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$108.33,$116.07,Y,Y,Y,N,N,Price Limited Supports
04_803_0133_5_1,Supports in Employment - Saturday,133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$138.36,$148.25,Y,Y,Y,N,N,Price Limited Supports
04_804_0133_5_1,Supports in Employment - Sunday,133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$178.40,$191.15,Y,Y,Y,N,N,Price Limited Supports
04_805_0133_5_1,Supports in Employment - Public Holiday,133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20240701,99991231,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$218.14,$234.05,Y,Y,Y,N,N,Price Limited Supports
04_821_0133_6_1,Activity Based Transport,133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_0002_0103_1_2,AT Supplementary Charge - AT Personal Care/Safety,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0105_1_2,AT Supplementary Charge - Personal Mobility or Transfer,105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0109_1_2,AT Supplementary Charge - Vehicle modifications,109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0112_1_2,AT Supplementary Charge - Recreation including sport,112,Assistive Equipment For Recreation,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0113_1_2,AT Supplementary Charge - Vision,113,Vision Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0122_1_2,AT Supplementary Charge - Hearing products,122,Hearing Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0123_1_2,AT Supplementary Charge - Household Tasks and Control,123,Assistive Products For Household Tasks,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0124_1_2,AT Supplementary Charge - Communication and Information support,124,Communication And Information Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0135_1_2,AT Supplementary Charge - Prosthesis or Orthosis,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_040312115_0103_1_2,AT Rental - Assistive Products for Respiration Support,103,Assistive Products For Personal Care And Safety,5,19,Assistive Technology,"Assistive Technology Maintenance, Repair and Rental",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_040312801_0103_1_1,Ventilators - Supplemental Ventilation Support (including CPAP and BPAP),103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_040312811_0103_1_1,Ventilators - Invasive Ventilation for Continuous Use,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_040313111_0103_1_1,Ventilator accessory - Filters and/or Humidifiers,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_040321811_0103_1_1,Aspirators,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_040322811_0103_1_1,Cough Assist Machine,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_040609171_0103_1_1,Cyclic Pressure Unit - Replacement Garments and Compression Sleeves,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_040609811_0103_1_1,Circulation Support - Air-Filled Garments and Compression Units,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_043006111_0103_1_2,Cooling Vest - All Sizes,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_043303511_0103_1_2,Postural Support - Air Floatation or Automated Pressure Management,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_043303811_0103_1_2,Postural Support - Foam and/or Gel component system,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_043306002_0103_1_2,Pressure Reduction Mattress - Air Filled Section,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_043306803_0103_1_2,Pressure Reduction Mattress or Overlay - Complete,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_043306804_0103_1_2,Pressure Reduction Mattress or Overlay - High Complexity Need,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_044839811_0103_1_2,Standing Frame - Supports for Standing,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_044839870_0103_1_2,Standing or Walking Frame accessory - Powered Component (including Myoelectric),103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_060000115_0135_1_2,AT Rental - Prosthesis and Orthosis,135,Customised Prosthetics (includes Orthotics),5,19,Assistive Technology,"Assistive Technology Maintenance, Repair and Rental",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_060315111_0135_1_2,Orthosis - Cervical and Cranial,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_060318821_0135_1_2,Orthosis - Cervico-Thoraco-Lumbo-Sacral,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_060600111_0135_1_2,Orthosis - Upper Limb - Prefabricated,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_060600821_0135_1_2,Orthosis - Upper Limb - Custom Made,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_060688121_0135_1_2,Orthosis - Dynamic or Lycra - Limb,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_061203111_0135_1_2,Orthosis - Foot (all types) or Prefabricated Orthotic Footwear,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_061203821_0135_1_2,Orthosis - Footwear/Shoes Other - Custom Made,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_061206111_0135_1_2,Orthosis - Ankle Foot (AFO) - Prefabricated,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_061206821_0135_1_2,Orthosis - Ankle Foot (AFO) - Custom Made,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_061206891_0135_1_2,Orthosis - Ankle Foot with Ankle Joints - Custom Made,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_061209111_0105_1_2,Orthosis - Knee - Prefabricated,105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_061209121_0135_1_2,Orthosis - Knee - Custom Made,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_061209821_0135_1_2,Orthosis - Thigh Knee Ankle - Custom Made,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_061212821_0135_1_2,Orthosis - Knee Ankle Foot - Custom Made,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_061215111_0105_1_2,Orthosis - Hip - Prefabricated,105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_061218811_0135_1_2,Orthosis - Bilateral Hip Knee Ankle Foot Orthosis (incl RGO) - Prefabricated,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_061218821_0135_1_2,Orthosis - Hip Thigh Knee Ankle - Custom Made,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_061219821_0135_1_2,Orthosis - Bilateral Thoraco-lumbar/Lumbo-Sacral Hip Knee Ankle Foot - Custom,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_061290821_0135_1_2,Orthosis - Dynamic or Lycra - Full Body,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_061500811_0135_1_2,Orthosis - Trunk/Lower Body - FES or Powered - to supportstanding/walking,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_061800121_0135_1_2,Prosthesis - Upper Limb (Including Powered),135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
05_061826871_0135_1_2,Prosthesis - Accessory - Arm and Hand for Sport and Leisure,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_062200921_0135_1_2,Prosthesis - Osseo-Integration Mounting (Upper or Lower) - Additional Cost,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
05_062409121_0135_1_2,Prosthesis - Transtibial or Lower,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
05_062415121_0135_1_2,Prosthesis - Transfemoral or Higher,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
05_062488034_0135_1_2,Prosthesis - Lower Limb - Not Defined,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
05_062488121_0135_1_2,Prosthesis - Specialist Lower Limb For Sports,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
05_062490191_0135_1_2,Prosthesis - For Wet Area Use (i.e. waterproofing) - Additional Cost,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
05_063000821_0135_1_2,Prosthesis - Not Limb Related,135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_090000155_0103_1_2,AT Rental - Personal Care and Safety,103,Assistive Products For Personal Care And Safety,5,19,Assistive Technology,"Assistive Technology Maintenance, Repair and Rental",E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_091200111_0103_1_2,Toilet Attachments and Accessories - Seat/Toilet Raiser/Toileting Bidet,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_091203053_0103_1_2,Shower Commode - Wheeled - Low Transporter,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
05_091203811_0103_1_2,Shower Commode - Wheeled,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_091203821_0103_1_2,Shower Commode - Wheeled - High High Intensityity need,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_091203891_0103_1_2,Shower Commode - Wheeled - Tilt In Space,103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
